index,Company,City,Industry,Percentage,Date,Funds_Raised,Stage,Country,Laid_Off_Count,strength,Reason,Year,Month,Quarters,category_label_encoded
2769,BitMEX,Non-U.S.,Crypto,0.25,2022-04-04,0.0,Seed,Seychelles,75.0,300.0,closure_permanent,2022,April,2022Q2,26
2788,Wish,SF Bay Area,Retail,0.15,2022-03-01,1600.0,Post-IPO,United States,190.0,1267.0,closure_permanent,2022,March,2022Q1,31
2792,Virgin Hyperloop,Los Angeles,Transportation,0.5,2022-02-21,368.0,Unknown,United States,111.0,222.0,down_sizing,2022,February,2022Q1,19
2798,Peloton,New York City,Fitness,0.2,2022-02-08,1900.0,Post-IPO,United States,2800.0,14000.0,closure_permanent,2022,February,2022Q1,25
2802,Glossier,New York City,Consumer,0.33,2022-01-26,266.0,Series E,United States,80.0,242.0,closure_permanent,2022,January,2022Q1,25
2809,BitTitan,Seattle,Data,0.27,2021-11-18,46.0,Acquired,United States,70.0,259.0,down_sizing,2021,November,2021Q4,36
2827,New Relic,SF Bay Area,Infrastructure,0.07,2021-04-06,214.5,Post-IPO,United States,160.0,2286.0,layoff_permanent,2021,April,2021Q2,31
2843,Postmates,SF Bay Area,Food,0.15,2021-01-23,763.0,Acquired,United States,180.0,1200.0,layoff_permanent,2021,January,2021Q1,31
2846,Dropbox,SF Bay Area,Other,0.15,2021-01-13,1700.0,Post-IPO,United States,315.0,2100.0,layoff_permanent,2021,January,2021Q1,31
2866,Knotel,New York City,Real Estate,0.08,2020-10-29,560.0,Series C,United States,20.0,250.0,layoff_permanent,2020,October,2020Q4,25
2890,Salesforce,SF Bay Area,Sales,0.0185,2020-08-26,65.4,Post-IPO,United States,1000.0,54054.0,layoff_permanent,2020,August,2020Q3,31
2904,Glossier,New York City,Retail,0.38,2020-08-07,186.4,Series D,United States,150.0,395.0,closure_permanent,2020,August,2020Q3,25
2916,Checkr,SF Bay Area,HR,0.12,2020-07-23,309.0,Series D,United States,64.0,533.0,layoff_permanent,2020,July,2020Q3,31
2918,LinkedIn,SF Bay Area,Recruiting,0.06,2020-07-21,154.0,Acquired,United States,960.0,16000.0,layoff_permanent,2020,July,2020Q3,31
2937,Katerra,SF Bay Area,Construction,0.07,2020-06-29,1300.0,Series E,United States,400.0,5714.0,changed_business,2020,June,2020Q2,31
2951,Intuit,SF Bay Area,Finance,0.07,2020-06-22,18.0,Post-IPO,United States,715.0,10214.0,closure_permanent,2020,June,2020Q2,31
2954,Navi,Bengaluru,Finance,0.25,2020-06-17,582.0,Private Equity,India,40.0,160.0,down_sizing,2020,June,2020Q2,2
2957,Splunk,SF Bay Area,Data,0.01,2020-06-16,40.0,Post-IPO,United States,70.0,7000.0,layoff_permanent,2020,June,2020Q2,31
2972,Monzo,London,Finance,0.08,2020-06-03,324.0,Series F,United Kingdom,120.0,1500.0,closure_permanent,2020,June,2020Q2,18
2977,Rivian,Detroit,Transportation,0.02,2020-06-02,3100.0,Private Equity,United States,40.0,2000.0,layoff_permanent,2020,June,2020Q2,12
2984,Brex,SF Bay Area,Finance,0.15,2020-05-29,732.0,Series C,United States,62.0,413.0,layoff_permanent,2020,May,2020Q2,31
2987,TrueCar,Los Angeles,Transportation,0.3,2020-05-28,340.0,Post-IPO,United States,219.0,730.0,layoff_permanent,2020,May,2020Q2,19
3002,Ola,Bengaluru,Transportation,0.35,2020-05-20,3800.0,Series J,India,1400.0,4000.0,closure_permanent,2020,May,2020Q2,2
3003,Samsara,SF Bay Area,Logistics,0.18,2020-05-20,530.0,Series F,United States,300.0,1667.0,layoff_permanent,2020,May,2020Q2,31
3007,Intercom,SF Bay Area,Support,0.06,2020-05-20,240.0,Series D,United States,39.0,650.0,layoff_permanent,2020,May,2020Q2,31
3025,Cruise,SF Bay Area,Transportation,0.08,2020-05-14,5300.0,Acquired,United States,150.0,1875.0,layoff_permanent,2020,May,2020Q2,31
3035,Kickstarter,New York City,Finance,0.18,2020-05-13,10.0,Unknown,United States,25.0,139.0,layoff_permanent,2020,May,2020Q2,25
3042,Zeus Living,SF Bay Area,Real Estate,0.5,2020-05-12,79.0,Series B,United States,73.0,146.0,layoff_permanent,2020,May,2020Q2,31
3048,Revolut,London,Finance,0.03,2020-05-11,837.0,Series D,United Kingdom,60.0,2000.0,layoff_temporary,2020,May,2020Q2,18
3052,Glassdoor,SF Bay Area,Recruiting,0.3,2020-05-07,204.0,Acquired,United States,300.0,1000.0,layoff_permanent,2020,May,2020Q2,31
3062,Segment,SF Bay Area,Data,0.1,2020-05-06,283.0,Series D,United States,50.0,500.0,closure_permanent,2020,May,2020Q2,31
3065,Airbnb,SF Bay Area,Travel,0.25,2020-05-05,5400.0,Private Equity,United States,1900.0,7600.0,closure_temporary,2020,May,2020Q2,31
3066,Juul,SF Bay Area,Consumer,0.3,2020-05-05,1500.0,Unknown,United States,900.0,3000.0,layoff_permanent,2020,May,2020Q2,31
3104,Lime,SF Bay Area,Transportation,0.13,2020-04-29,765.0,Series D,United States,80.0,615.0,closure_permanent,2020,April,2020Q2,31
